MAG_ID,BUSCO_Complete,BUSCO_SINGLE,BUSCO_DUPLICATED,BUSCO_FRAGMENTED,BUSCO_MISSING,BUSCO_NUMBER,Source_Annotation
Mars-20.bin.109,72.7,72.3,0.4,7.1,20.2,758,metaeuk
Mars-20.bin.57,93.0,92.7,0.3,2.0,5.0,758,metaeuk
Mars-20.bin.71,33.8,32.8,0.9,18.6,47.6,758,metaeuk
Mars-20.bin.79,75.1,74.7,0.4,2.1,22.8,758,metaeuk
Mars-23.bin.113,86.7,86.0,0.7,2.4,10.9,758,metaeuk
Mars-23.bin.119,70.7,70.2,0.5,2.4,26.9,758,metaeuk
Mars-23.bin.49,72.7,72.3,0.4,2.0,25.3,758,metaeuk
Mars-24.bin.24,69.3,68.9,0.4,2.2,28.5,758,metaeuk
Mars-24.bin.26,88.4,86.9,1.5,2.2,9.4,758,metaeuk
Mars-24.bin.27,90.4,87.6,2.8,2.5,7.1,758,metaeuk
Mars-24.bin.89,69.0,68.5,0.5,2.0,29.0,758,metaeuk
Mars-24.bin.8,78.1,78.0,0.1,4.0,17.9,758,metaeuk
Mars-25.bin.11,67.9,67.5,0.4,1.3,30.7,758,metaeuk
Mars-25.bin.16,92.5,91.8,0.7,0.9,6.6,758,metaeuk
Mars-25.bin.42,85.5,81.7,3.8,2.8,11.7,758,metaeuk
Mars-25.bin.4,89.4,88.7,0.8,1.2,9.4,758,metaeuk
Mars-25.bin.68,93.4,92.7,0.7,1.2,5.4,758,metaeuk
Mars-26.bin.113,76.9,76.6,0.3,1.7,21.4,758,metaeuk
Mars-26.bin.52,91.2,90.8,0.4,2.0,6.9,758,metaeuk
Mars-26.bin.81,92.1,91.2,0.9,0.9,7.0,758,metaeuk
Mars-26.bin.93,81.1,80.3,0.8,3.8,15.0,758,metaeuk
Mars-27b.bin.11,76.4,76.0,0.4,1.7,21.9,758,metaeuk
Mars-27b.bin.5,79.3,79.0,0.3,6.3,14.4,758,metaeuk
Mars-28.bin.37,29.8,28.9,0.9,19.5,50.7,758,metaeuk
Mars-28.bin.42,46.6,45.9,0.7,8.2,45.3,758,metaeuk
Mars-29.bin.19,73.9,73.4,0.5,2.6,23.5,758,metaeuk
Mars-29.bin.71,87.5,87.1,0.4,2.5,10.0,758,metaeuk
Mars-2.bin.104,87.2,86.5,0.7,2.1,10.7,758,metaeuk
Mars-2.bin.151,89.8,87.6,2.2,2.8,7.4,758,metaeuk
Mars-2.bin.177,59.6,59.4,0.3,2.4,38.0,758,metaeuk
Mars-2.bin.67,91.6,90.4,1.2,1.7,6.7,758,metaeuk
Mars-30.bin.57,66.5,66.0,0.5,4.5,29.0,758,metaeuk
Mars-30.bin.70,74.5,74.0,0.5,2.1,23.4,758,metaeuk
Mars-31.bin.11,90.2,90.1,0.1,1.6,8.2,758,metaeuk
Mars-31.bin.94,81.3,79.9,1.3,5.0,13.7,758,metaeuk
Mars-32.bin.1,88.9,88.8,0.1,1.7,9.4,758,metaeuk
Mars-32.bin.89,87.9,87.2,0.7,1.6,10.6,758,metaeuk
Mars-33.bin.87,86.4,86.1,0.3,3.0,10.6,758,metaeuk
Mars-34.bin.110,42.5,42.5,0.0,2.5,55.0,758,metaeuk
Mars-34.bin.55,23.2,22.7,0.5,22.8,54.0,758,metaeuk
Mars-34.bin.83,73.0,72.6,0.4,2.1,24.9,758,metaeuk
Mars-35.bin.58,52.1,51.8,0.3,2.4,45.5,758,metaeuk
Mars-35.bin.6,36.4,35.0,1.5,18.9,44.7,758,metaeuk
Mars-36.bin.40,81.7,81.4,0.3,2.0,16.4,758,metaeuk
Mars-36.bin.92,87.2,86.9,0.3,2.8,10.0,758,metaeuk
Mars-38.bin.101,24.5,24.1,0.4,22.4,53.0,758,metaeuk
Mars-39.bin.19,90.8,85.8,5.0,2.1,7.1,758,metaeuk
Mars-39.bin.88,91.2,89.3,1.8,3.0,5.8,758,metaeuk
Mars-3.bin.16,85.4,84.7,0.7,2.6,12.0,758,metaeuk
Mars-3.bin.40,76.8,76.5,0.3,2.4,20.8,758,metaeuk
Mars-40.bin.22,75.9,72.4,3.4,7.0,17.2,758,metaeuk
Mars-41.bin.125,88.5,86.9,1.6,3.8,7.7,758,metaeuk
Mars-41.bin.73,59.5,59.4,0.1,2.0,38.5,758,metaeuk
Mars-42.bin.1,87.9,87.1,0.8,2.4,9.8,758,metaeuk
Mars-42.bin.96,55.3,55.1,0.1,4.5,40.2,758,metaeuk
Mars-43.bin.48,67.2,61.9,5.3,9.9,23.0,758,metaeuk
Mars-44.bin.26,67.5,67.3,0.3,8.7,23.7,758,metaeuk
Mars-44.bin.8,87.9,86.1,1.7,4.2,7.9,758,metaeuk
Mars-45.bin.181,33.8,32.6,1.2,17.4,48.8,758,metaeuk
Mars-45.bin.183,78.9,78.8,0.1,2.1,19.0,758,metaeuk
Mars-45.bin.74,93.3,92.9,0.4,2.0,4.7,758,metaeuk
Mars-46.bin.111,65.6,64.9,0.7,7.1,27.3,758,metaeuk
Mars-4b.bin.17,77.6,77.0,0.5,1.5,21.0,758,metaeuk
Mars-4b.bin.9,63.3,62.8,0.5,0.8,35.9,758,metaeuk
Mars-50b.bin.11,87.1,86.4,0.7,1.5,11.5,758,metaeuk
Mars-50b.bin.3,32.5,31.5,0.9,21.5,46.0,758,metaeuk
Mars-52.bin.17,87.6,87.3,0.3,1.5,10.9,758,metaeuk
Mars-52.bin.25,92.3,92.0,0.4,1.7,5.9,758,metaeuk
Mars-52.bin.44,91.2,90.4,0.8,1.6,7.3,758,metaeuk
Mars-52.bin.65,85.6,85.4,0.3,1.7,12.7,758,metaeuk
Mars-53.bin.20,77.6,76.6,0.9,6.5,16.0,758,metaeuk
Mars-53.bin.43,64.6,64.2,0.4,2.0,33.4,758,metaeuk
Mars-53.bin.66,89.7,88.9,0.8,1.5,8.8,758,metaeuk
Mars-53.bin.9,72.7,72.3,0.4,7.4,19.9,758,metaeuk
Mars-54.bin.17,71.0,70.8,0.1,2.5,26.5,758,metaeuk
Mars-54.bin.38,91.8,89.2,2.6,1.3,6.9,758,metaeuk
Mars-54.bin.43,23.5,22.8,0.7,23.2,53.3,758,metaeuk
Mars-55.bin.28,86.0,85.5,0.5,4.9,9.1,758,metaeuk
Mars-55.bin.48,57.7,57.4,0.3,1.6,40.8,758,metaeuk
Mars-55.bin.4,93.9,93.5,0.4,1.1,5.0,758,metaeuk
Mars-55.bin.6,23.5,23.0,0.5,23.2,53.3,758,metaeuk
Mars-56.bin.111,47.6,47.6,0.0,1.5,50.9,758,metaeuk
Mars-57b.bin.170,28.5,28.2,0.3,23.1,48.4,758,metaeuk
Mars-57b.bin.28,62.8,62.3,0.5,3.3,33.9,758,metaeuk
Mars-57b.bin.53,86.5,85.0,1.6,2.2,11.2,758,metaeuk
Mars-57b.bin.96,91.2,91.0,0.1,2.4,6.5,758,metaeuk
Mars-58.bin.107,93.8,93.0,0.8,0.9,5.3,758,metaeuk
Mars-58.bin.15,86.0,83.0,3.0,4.6,9.4,758,metaeuk
Mars-5.bin.32,91.6,91.3,0.3,1.3,7.1,758,metaeuk
Mars-5.bin.41,54.7,54.6,0.1,9.5,35.8,758,metaeuk
Mars-60b.bin.40,89.1,88.4,0.7,2.2,8.7,758,metaeuk
Mars-60b.bin.66,72.6,72.2,0.4,7.9,19.5,758,metaeuk
Mars-60b.bin.81,91.6,91.0,0.5,1.6,6.9,758,metaeuk
Mars-60b.bin.88,50.4,50.1,0.3,1.6,48.0,758,metaeuk
Mars-61.bin.38,59.4,58.2,1.2,1.5,39.2,758,metaeuk
Mars-61.bin.58,35.9,34.4,1.5,18.9,45.3,758,metaeuk
Mars-62.bin.10,68.5,68.1,0.4,2.0,29.6,758,metaeuk
Mars-62.bin.17,92.0,91.4,0.5,2.0,6.1,758,metaeuk
Mars-62.bin.37,86.5,86.1,0.4,1.7,11.7,758,metaeuk
Mars-62.bin.6,78.4,78.0,0.4,7.5,14.1,758,metaeuk
Mars-63.bin.30,88.7,88.4,0.3,1.6,9.8,758,metaeuk
Mars-63.bin.44,35.1,34.4,0.7,18.6,46.3,758,metaeuk
Mars-63.bin.60,60.3,60.2,0.1,2.2,37.5,758,metaeuk
Mars-64.bin.101,88.3,87.7,0.5,1.5,10.3,758,metaeuk
Mars-64.bin.118,79.7,79.4,0.3,5.7,14.6,758,metaeuk
Mars-64.bin.17,48.4,48.0,0.4,1.8,49.7,758,metaeuk
Mars-64.bin.18,53.0,48.9,4.1,2.0,45.0,758,metaeuk
Mars-64.bin.26,26.3,25.5,0.8,19.9,53.8,758,metaeuk
Mars-64.bin.54,82.5,75.1,7.4,2.4,15.2,758,metaeuk
Mars-64.bin.82,51.2,51.1,0.1,4.7,44.1,758,metaeuk
Mars-65.bin.19,92.3,92.0,0.4,1.6,6.1,758,metaeuk
Mars-65.bin.54,88.5,88.0,0.5,1.5,10.0,758,metaeuk
Mars-68.bin.26,79.3,78.4,0.9,2.0,18.7,758,metaeuk
Mars-68.bin.27,25.7,25.2,0.5,21.4,52.9,758,metaeuk
Mars-69.bin.4,79.9,79.4,0.5,1.5,18.6,758,metaeuk
Mars-6.bin.17,84.0,83.6,0.4,1.6,14.4,758,metaeuk
Mars-71.bin.43,75.3,74.9,0.4,7.5,17.2,758,metaeuk
Mars-71.bin.46,92.5,91.4,1.1,1.3,6.2,758,metaeuk
Mars-71.bin.78,86.4,86.0,0.4,0.8,12.8,758,metaeuk
Mars-72.bin.26,74.3,74.0,0.3,1.2,24.5,758,metaeuk
Mars-73.bin.13,33.0,32.2,0.8,17.9,49.1,758,metaeuk
Mars-73.bin.31,92.7,91.6,1.2,1.6,5.7,758,metaeuk
Mars-73.bin.63,24.3,23.9,0.4,21.6,54.1,758,metaeuk
Mars-74.bin.5,89.3,88.9,0.4,1.5,9.2,758,metaeuk
Mars-75b.bin.12,81.0,80.3,0.7,1.8,17.2,758,metaeuk
Mars-75b.bin.17,24.3,23.9,0.4,19.3,56.5,758,metaeuk
Mars-76.bin.31,61.7,61.1,0.7,1.6,36.7,758,metaeuk
Mars-76.bin.56,49.7,49.5,0.3,2.5,47.8,758,metaeuk
Mars-76.bin.7,86.8,85.5,1.3,2.5,10.7,758,metaeuk
Mars-78.bin.14,75.3,74.9,0.4,8.6,16.1,758,metaeuk
Mars-78.bin.3,66.9,66.8,0.1,2.1,31.0,758,metaeuk
Mars-78.bin.5,24.1,23.5,0.7,23.0,52.9,758,metaeuk
Mars-79.bin.22,81.3,80.9,0.4,1.2,17.5,758,metaeuk
Mars-79.bin.94,44.3,44.2,0.1,9.5,46.2,758,metaeuk
Mars-7.bin.33,84.7,84.0,0.7,2.1,13.2,758,metaeuk
Mars-80.bin.109,83.9,83.0,0.9,1.7,14.4,758,metaeuk
Mars-80.bin.31,81.0,80.5,0.5,1.7,17.3,758,metaeuk
Mars-81.bin.1,91.4,90.6,0.8,0.9,7.7,758,metaeuk
Mars-82.bin.10,79.4,79.2,0.3,5.8,14.8,758,metaeuk
Mars-82.bin.13,88.4,87.6,0.8,1.6,10.0,758,metaeuk
Mars-82.bin.1,92.9,92.6,0.3,1.8,5.3,758,metaeuk
Mars-82.bin.5,24.1,23.5,0.7,21.0,54.9,758,metaeuk
Mars-82.bin.9,93.1,92.9,0.3,1.5,5.4,758,metaeuk
Mars-83.bin.14,23.9,23.2,0.7,22.8,53.3,758,metaeuk
Mars-83.bin.20,92.7,92.0,0.8,1.1,6.2,758,metaeuk
Mars-83.bin.9,48.2,47.6,0.5,9.6,42.2,758,metaeuk
Mars-84.bin.107,78.9,78.6,0.3,5.7,15.4,758,metaeuk
Mars-84.bin.127,82.8,82.6,0.3,2.1,15.0,758,metaeuk
Mars-84.bin.139,76.9,76.8,0.1,7.5,15.6,758,metaeuk
Mars-84.bin.14,63.3,63.1,0.3,1.5,35.2,758,metaeuk
Mars-85b.bin.121,65.2,64.6,0.5,2.8,32.1,758,metaeuk
Mars-85b.bin.160,34.7,33.4,1.3,19.3,46.0,758,metaeuk
Mars-85b.bin.41,84.4,84.4,0.0,2.5,13.1,758,metaeuk
Mars-85b.bin.93,32.3,31.4,0.9,19.1,48.5,758,metaeuk
Mars-86.bin.11,92.1,91.6,0.5,2.2,5.7,758,metaeuk
Mars-86.bin.1,79.8,79.6,0.3,5.7,14.5,758,metaeuk
Mars-86.bin.20,93.4,93.0,0.4,1.5,5.1,758,metaeuk
Mars-87b.bin.14,35.5,34.7,0.8,18.3,46.2,758,metaeuk
Mars-87b.bin.15,67.4,67.0,0.4,1.2,31.4,758,metaeuk
Mars-89b.bin.127,44.1,39.2,4.9,9.6,46.3,758,metaeuk
Mars-89b.bin.57,79.6,78.6,0.9,3.4,17.0,758,metaeuk
Mars-89b.bin.69,70.6,69.4,1.2,3.8,25.6,758,metaeuk
Mars-89b.bin.76,83.8,80.7,3.0,4.2,12.0,758,metaeuk
Mars-8b.bin.18,24.0,23.2,0.8,23.0,53.0,758,metaeuk
Mars-91.bin.12,71.0,70.7,0.3,9.2,19.8,758,metaeuk
Mars-91.bin.27,67.0,66.4,0.7,2.2,30.7,758,metaeuk
Mars-91.bin.36,63.1,60.2,2.9,2.6,34.3,758,metaeuk
Mars-93.bin.105,81.5,81.3,0.3,2.8,15.7,758,metaeuk
Mars-93.bin.55,35.9,34.6,1.3,19.0,45.1,758,metaeuk
Mars-93.bin.5,93.3,93.0,0.3,0.7,6.1,758,metaeuk
Mars-93.bin.97,84.3,82.5,1.8,4.0,11.7,758,metaeuk
Mars-94.bin.130,73.0,72.4,0.5,3.4,23.6,758,metaeuk
Mars-95.bin.12,79.2,78.8,0.4,6.2,14.6,758,metaeuk
Mars-95.bin.15,75.2,74.8,0.4,1.5,23.4,758,metaeuk
Mars-95.bin.17,65.3,64.5,0.8,1.8,32.8,758,metaeuk
Mars-9.bin.1,64.9,64.5,0.4,5.9,29.2,758,metaeuk
Mars-9.bin.52,87.6,87.2,0.4,1.6,10.8,758,metaeuk
